Продукт;Белки;Жиры;Углеводы;Ккал
Сметана 20%;2,8;20,0;3,2;206
Сметана домашняя;2,0;48,0;2,0;447
Гауда 45%;-;-;-;343
Гауда 48%;-;-;-;358
Голландский;-;-;-;352
Горгонцола 50%;-;-;-;358
Камамбер 30%;-;-;-;207
Камамбер 45%;-;-;-;281
Камамбер 55%;-;-;-;320
Маасдам;-;-;-;273
Моцарелла;-;-;-;254
Паланга;-;-;-;295
Пармезан;-;-;-;590
Пошехонский;-;-;-;334
Российский;-;-;-;371
Чеддер 50%;-;-;-;410
Швейцарский;-;-;-;396
Эдамер 30%;-;-;-;265
Эдамер 40%;-;-;-;322
Эдамер 45%;-;-;-;371
Эмментальский 45%;-;-;-;382
Голубой бергадер;-;-;-;310
Горный;-;-;-;380
Козий;-;-;-;390
Козий мягкий;-;-;-;280
Сыр колбасный;-;-;-;368
Овечий;-;-;-;260
Тофу;-;-;-;106
Сулугуни;-;-;-;285
Жир кулинарный;-;-;-;897
Жир кондитерский;-;-;-;897
Жир животный топленный;-;-;-;897
Жир гусиный;-;-;-;930
Маргарин сливочный;-;-;-;746
Маргарин диетический;-;-;-;366
Масло подсолнечное;-;-;-;900
Масло соевое;-;-;-;899
Масло кукурузное;-;-;-;899
Масло арахисовое;-;-;-;895
Шпик свиной;-;-;-;816
Баранки;10,0;2,0;69,0;334
Вафли с жиросодержащими начинками;3,0;30,0;64,0;538
Вафли с фруктовыми начинками;3,0;5,0;80,0;377
Макаронные изделия;11,0;0,9;74,2;348
Мука пшеничная 1 сорта;10,6;1,3;73,2;346
Мука пшеничная 2 сорта;11,7;1,8;70,8;346
Мука пшеничная высшего сорта;10,3;0,9;74,2;346
Мука ржаная;6,9;1,1;76,9;345
Пирожное бисквитное с фруктовой начинкой;5,0;10,0;60,0;350
Пирожное слоеное с кремом;5,0;40,0;46,0;564
Пирожное слоеное с фруктовой начинкой;5,0;25,0;55,0;465
Пряники 5,0;3,0;76,0;351
Сдобная выпечка;8,0;15,0;50,0;367
Сухари пшеничные;11,0;2,0;72,0;350
Сухари сливочные;8,5;10,6;71,3;414
Сушки;11,0;1,3;73,0;347
Торт бисквитный с фруктовой начинкой;4,7;20,0;49,8;398
Торт миндальный;6,6;35,8;46,8;535
Хлеб пшеничный из муки 1 сорта;7,7;2,4;53,4;266
Хлеб ржаной;4,7;0,7;49,8;224
Хлеб ржаной грубый;4,2;0,8;43,0;196
Арахис;26,3;45,2;9,7;550
Бобы;6,0;0,1;8,3;58
Геркулес;13,1;6,2;65,7;371
Горох лущеный;23,0;1,6;57,7;337
Горох цельный;23,0;1,2;53,3;316
Грецкий орех;13,8;61,3;10,2;647
Крупа гречневая;12,6;2,6;68,0;345
Крупа кукурузная;8,3;1,2;75,0;344
Крупа манная;11,3;0,7;73,3;344
Крупа овсяная;12,0;6,0;67,0;370
Крупа перловая;9,3;1,1;73,7;341
Крупа пшеничная;12,7;1,1;70,6;343
Крупа ячневая;10,4;1,3;71,7;340
Миндаль;18,6;57,7;13,6;648
Просо;9,1;3,8;70,0;350
Пшеница цельная;9,0;2,0;52,0;262
Пшено;12,0;2,9;69,3;351
Рис;8,0;1,0;76,0;345
Рожь;11,0;2,0;67,0;330
Семечки подсолнечника;20,7;52,9;5,0;578
Соя;34,9;17,3;26,5;401
Толокно;12,2;5,8;68,3;374
Фасоль;22,3;1,7;54,5;322
Фундук;16,1;66,9;9,9;706
Чечевица;24,8;1,1;53,7;323
Ячневая крупа;10,0;1,0;66,0;324
Драже фруктовое;3,7;10,2;73,1;399
Зефир;0,8;0,0;78,3;316
Ирис;3,3;7,5;81,8;407
Карамель;0,0;0,1;77,7;311
Конфеты шоколадные;3,0;20,0;67,0;460
Мармелад;0,0;0,1;77,7;311
Мед;0,8;0,0;80,3;324
Пастила;0,5;0,0;80,4;323
Сахар;0,0;0,0;99,9;399
Халва подсолнечная;11,6;29,7;54,0;529
Халва тахинная;12,7;29,9;50,6;522
Шоколад молочный;6,9;35,7;52,4;558
Шоколад темный;5,4;35,3;52,6;549
Вино виноградное сухое 100мл;-;-;-;72
Водка 20 мл;-;-;-;55
Джин 40 мл;-;-;-;130
Кальвадос 20 мл;-;-;-;65
Коньяк 100 мл;-;-;-;236
Мартини Бьянко (вермут);-;-;-;85
Мартини сухой;-;-;-;60
Пиво 250 мл;-;-;-;120
Рисовая водка сакэ 20 мл;-;-;-;50
Ром 20 мл;-;-;-;75
Шампанское полусладкое 100 мл;-;-;-;95
Шампанское сухое 100 мл;-;-;-;85
Сок Абрикосовый;-;-;-;56
Сок Апельсиновый;-;-;-;55
Сок Виноградный;-;-;-;52
Сок Вишневый;-;-;-;53
Сок Мандариновый;-;-;-;41
